Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43606308,"Defiant (Skyward, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0593309715""","=""9780593309711""",5,4.50,Delacorte Press,Hardcover,480,2023,2023,2023/11/26,2023/03/02,,,read,,,,1,0
16244663,The Willful Princess and the Piebald Prince,Robin Hobb,"Hobb, Robin",,"=""1596065443""","=""9781596065444""",0,4.03,Subterranean Press,Hardcover,184,2013,2013,,2023/11/23,currently-reading,currently-reading (#3),currently-reading,,,,1,0
8739264,The Inheritance,Robin Hobb,"Hobb, Robin",,"=""0007273770""","=""9780007273775""",3,3.98,Voyager,Hardcover,400,2011,2011,2023/11/23,2023/11/11,,,read,,,,1,0
41021196,"Fool's Assassin (The Fitz and the Fool, #1)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",0,4.41,Del Rey,Kindle Edition,706,2014,2014,,2023/11/11,to-read,to-read (#39),to-read,,,,0,0
13109291,"Blood of Dragons (Rain Wild Chronicles, #4)",Robin Hobb,"Hobb, Robin",,"=""0062116851""","=""9780062116857""",4,4.17,Harper Voyager,Hardcover,448,2013,2013,2023/11/11,2023/11/06,,,read,,,,1,0
11801463,"City of Dragons (Rain Wild Chronicles, #3)",Robin Hobb,"Hobb, Robin",,"=""0061561630""","=""9780061561634""",4,4.10,Harper Voyager,Hardcover,334,2012,2011,2023/11/11,2023/11/04,,,read,,,,1,0
7011403,"Dragon Haven (Rain Wild Chronicles, #2)",Robin Hobb,"Hobb, Robin",,"=""0061931411""","=""9780061931413""",4,4.11,Eos,Hardcover,508,2010,2010,2023/11/04,2023/10/30,,,read,,,,1,0
58416952,"The Will of the Many (Hierarchy, #1)",James  Islington,"Islington, James",,"=""""","=""""",0,4.66,Gallery / Saga Press,Kindle Edition,639,2023,2023,,2023/11/01,to-read,to-read (#38),to-read,,,,0,0
4703450,"The Dragon Keeper (Rain Wild Chronicles, #1)",Robin Hobb,"Hobb, Robin",,"=""0007273746""","=""9780007273744""",4,3.95,Voyager,Hardcover,553,2009,2009,2023/10/30,2023/10/26,,,read,,,,1,0
45108,"Fool's Fate (Tawny Man, #3)",Robin Hobb,"Hobb, Robin",,"=""0553582461""","=""9780553582468""",5,4.46,Spectra,Mass Market Paperback,914,2004,2003,2023/10/26,2023/10/18,,,read,,,,1,0
45109,"Golden Fool (Tawny Man, #2)",Robin Hobb,"Hobb, Robin",,"=""0553582453""","=""9780553582451""",4,4.36,Spectra,Mass Market Paperback,709,2003,2002,2023/10/18,2023/10/10,,,read,,,,1,0
68488,"Fool's Errand (Tawny Man, #1)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",4,4.35,Voyager,Mass Market Paperback,661,2002,2001,2023/10/10,2023/10/02,,,read,,,,1,0
41886271,The Sword of Kaigen,M.L.  Wang,"Wang, M.L.",,"=""""","=""""",5,4.45,Amazon Digital Services,Kindle Edition,559,2019,2018,2023/10/08,2022/11/04,,,read,,,,1,0
60531420,The Sunlit Man (The Cosmere),Brandon Sanderson,"Sanderson, Brandon","Ernanda Souza, Nabetse Zitro, Kudriaken","=""""","=""9781938570391""",0,4.43,Dragonsteel Entertainment,Hardcover,447,2023,2023,,2023/10/03,to-read,to-read (#37),to-read,,,,0,0
